Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32466000.0,294056.3440028606,6672156.344002861,-0.03559751711896115,36906.22219135896,0.0011584287200270343
32468000.0,293983.7731420966,6672083.773142097,-0.036978110141133266,36908.539067524434,0.0011584476183755586
32470000.0,293910.14642157964,6672010.14642158,-0.03622795709405183,36910.855982109955,0.0011584668670919576
32472000.0,293838.2795474464,6671938.279547446,-0.03618002421523691,36913.172934474445,0.0011584854885458083
32474000.0,293764.46485471167,6671864.464854712,-0.037310891372475195,36915.48992459323,0.0011585047702359962
32476000.0,293690.88438979257,6671790.884389793,-0.036155276027001325,36917.80695347006,0.0011585239540192046
32478000.0,293618.25127421506,6671718.251274215,-0.03693451358571865,36920.12402012041,0.0011585427924909449
32480000.0,293543.4523361046,6671643.452336105,-0.037341661552506324,36922.441125231635,0.001158562366565422
32482000.0,293470.00084552914,6671570.000845529,-0.03635046881162976,36924.75826918475,0.001158581455889436
32484000.0,293396.20661572367,6671496.206615724,-0.03761412923408202,36927.07545113065,0.0011586006476989505
32486000.0,293320.8809886938,6671420.880988694,-0.037242807807760514,36929.39267218369,0.001158620354430226
32488000.0,293247.28465683106,6671347.284656831,-0.036828269940360814,36931.70993203883,0.0011586394435722834
32490000.0,293172.1872076737,6671272.187207674,-0.03809659956337284,36934.02723036248,0.0011586590372336676
32492000.0,293096.7249800768,6671196.724980077,-0.03711955794347536,36936.34456826963,0.0011586787402852693
32494000.0,293022.5737684956,6671122.573768496,-0.03751195491432533,36938.66194493368,0.0011586979708233629
32496000.0,292946.3397276588,6671046.339727659,-0.03828336888898247,36940.979360719255,0.0011587179075962985
32498000.0,292870.9271862274,6670970.927186227,-0.03720395686052051,36943.29681631085,0.0011587375414082478
32500000.0,292795.7774240179,6670895.777424018,-0.03824584353415197,36945.6143107903,0.0011587570665888385
32502000.0,292718.7708958201,6670818.77089582,-0.03826386921119524,36947.93184507736,0.0011587772191093738
32504000.0,292643.29349486064,6670743.293494861,-0.03757370316559211,36950.24941921166,0.0011587968225937988
32506000.0,292566.89060168434,6670666.890601684,-0.038835849207804876,36952.56703260638,0.001158816729957471
32508000.0,292489.51444970816,6670589.514449708,-0.03815508936744555,36954.884686385536,0.0011588369573615588
32510000.0,292413.65531976987,6670513.65531977,-0.0381887462116783,36957.20237998088,0.0011588566397004955
32512000.0,292335.98351251427,6670435.983512514,-0.03918125042874849,36959.520113430866,0.0011588769338043365
32514000.0,292258.5689399373,6670358.568939937,-0.03816141431531993,36961.83788761988,0.0011588971200977819
32516000.0,292181.8688389864,6670281.868838986,-0.03892185458713191,36964.155701685806,0.0011589170399230288
32518000.0,292103.2175736232,6670203.217573623,-0.03927563453650744,36966.47355630514,0.001158937619246472
32520000.0,292025.7521529915,6670125.7521529915,-0.03842476003021271,36968.791451804675,0.0011589577678048617
32522000.0,291947.8852676572,6670047.885267657,-0.03958106604535159,36971.10938746754,0.0011589780373620566
32524000.0,291868.6541164927,6669968.654116493,-0.03923067478956242,36973.427364315,0.0011589987620894623
32526000.0,291790.9085771926,6669890.908577193,-0.03893927654321365,36975.745382069246,0.0011590189516139761
32528000.0,291711.7670325292,6669811.767032529,-0.040053600449560293,36978.06344048959,0.0011590396074016053
32530000.0,291632.26468077675,6669732.264680777,-0.0392304880017468,36980.38154057705,0.0011590603692647563
32532000.0,291553.87322391104,6669653.873223911,-0.039597216902945494,36982.69968163034,0.0011590807258746768
32534000.0,291473.59576043766,6669573.595760438,-0.04032053005407988,36985.01786398662,0.0011591017186565432
32536000.0,291393.96012881957,6669493.96012882,-0.0393720837608305,36987.33608830003,0.001159122468701914
32538000.0,291314.57924307603,6669414.579243076,-0.04031155861318445,36989.654353763355,0.0011591431107580148
32540000.0,291233.44181176927,6669333.441811769,-0.04036571567450171,36991.97266121506,0.0011591643435742314
